URL,Version,Status,OIDs,Name,Title,Description,Used
http://sns.gob.es/fhir/tsi/CodeSystem/aseguradorasCS,1.0.0,draft,,AseguradorasCS,CodeSystem Aseguradoras,"CodeSystem Aseguradoras",
http://sns.gob.es/fhir/tsi/CodeSystem/colaboradorasCS,1.0.0,draft,,ColaboradorasCS,CodeSystem Colaboradoras,"CodeSystem Colaboradoras",
http://sns.gob.es/fhir/tsi/CodeSystem/comunidadesAutonomasCS,1.0.0,draft,,ComunidadesAutonomasCS,CodeSystem Comunidades Autónomas,"CodeSystem Comunidades Autónomas",
http://sns.gob.es/fhir/tsi/CodeSystem/estadoIndefCS,1.0.0,draft,,EstadoIndefCS,Estado comprobación Fecha Defunción,"Estado comprobación Fecha Defunción",
http://sns.gob.es/fhir/tsi/CodeSystem/estadosCS,1.0.0,draft,,EstadosCS,CodeSystem Estado Paciente,"CodeSystem Estado Paciente",
http://sns.gob.es/fhir/tsi/CodeSystem/gestorasCS,1.0.0,draft,,GestorasCS,CodeSystem Gestoras,"CodeSystem Gestoras",
http://sns.gob.es/fhir/tsi/CodeSystem/indicadorFarmaciaCS,1.0.0,draft,,IndicadorFarmaciaCS,CodeSystem Indicador Farmacia,"CodeSystem Indicador Farmacia",
http://sns.gob.es/fhir/tsi/CodeSystem/municipiosCS,1.0.0,draft,,MunicipiosCS,CodeSystem Municipios,"CodeSystem Municipios",
http://sns.gob.es/fhir/tsi/CodeSystem/nacionalidadesCS,1.0.0,draft,,NacionalidadesCS,CodeSystem Nacionalidades,"CodeSystem Nacionalidades",
http://sns.gob.es/fhir/tsi/CodeSystem/paisesCS,1.0.0,draft,,PaisesCS,CodeSystem Paises,"CodeSystem Paises",
http://sns.gob.es/fhir/tsi/CodeSystem/proveedoresCS,1.0.0,draft,,ProveedoresCS,CodeSystem Proveedores,"CodeSystem Proveedores",
http://sns.gob.es/fhir/tsi/CodeSystem/provinciasCS,1.0.0,draft,,ProvinciasCS,CodeSystem Provincias,"CodeSystem Provincias",
http://sns.gob.es/fhir/tsi/CodeSystem/situacionesCS,1.0.0,draft,,SituacionesCS,CodeSystem Situaciones,"CodeSystem Situaciones",
http://sns.gob.es/fhir/tsi/CodeSystem/subIndicadorFarmaciaCS,1.0.0,draft,,SubIndicadorFarmaciaCS,CodeSystem Subindicador Farmacia,"CodeSystem SubIndicador Farmacia",
http://sns.gob.es/fhir/tsi/CodeSystem/tipoViaCS,1.0.0,draft,,TipoViaCS,CodeSystem Tipo de Via,"CodeSystem Tipo de Via",
http://sns.gob.es/fhir/tsi/CodeSystem/titulosCS,1.0.0,draft,,TitulosCS,CodeSystem Titulos,"CodeSystem Titulos",
