URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://sns.gob.es/fhir/tsi/CodeSystem/aseguradorasCS,1.0.0,draft,,AseguradorasCS,CodeSystem Aseguradoras,"CodeSystem Aseguradoras","ValueSet/aseguradorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/colaboradorasCS,1.0.0,draft,,ColaboradorasCS,CodeSystem Colaboradoras,"CodeSystem Colaboradoras","ValueSet/colaboradorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/comunidadesAutonomasCS,1.0.0,draft,,ComunidadesAutonomasCS,CodeSystem Comunidades Autónomas,"CodeSystem Comunidades Autónomas","ValueSet/comunidadesAutonomasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/estadoIndefCS,1.0.0,draft,,EstadoIndefCS,Estado comprobación Fecha Defunción,"Estado comprobación Fecha Defunción","ValueSet/estadoIndefVS"
http://sns.gob.es/fhir/tsi/CodeSystem/estadosCS,1.0.0,draft,,EstadosCS,CodeSystem Estado Paciente,"CodeSystem Estado Paciente","ValueSet/estadosVS"
http://sns.gob.es/fhir/tsi/CodeSystem/gestorasCS,1.0.0,draft,,GestorasCS,CodeSystem Gestoras,"CodeSystem Gestoras","ValueSet/gestorasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/indicadorFarmaciaCS,1.0.0,draft,,IndicadorFarmaciaCS,CodeSystem Indicador Farmacia,"CodeSystem Indicador Farmacia","ValueSet/indicadorFarmaciaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/municipiosCS,1.0.0,draft,,MunicipiosCS,CodeSystem Municipios,"CodeSystem Municipios","ValueSet/municipiosVS"
http://sns.gob.es/fhir/tsi/CodeSystem/nacionalidadesCS,1.0.0,draft,,NacionalidadesCS,CodeSystem Nacionalidades,"CodeSystem Nacionalidades","ValueSet/nacionalidadesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/paisesCS,1.0.0,draft,,PaisesCS,CodeSystem Paises,"CodeSystem Paises","ValueSet/paisesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/proveedoresCS,1.0.0,draft,,ProveedoresCS,CodeSystem Proveedores,"CodeSystem Proveedores","ValueSet/proveedoresVS"
http://sns.gob.es/fhir/tsi/CodeSystem/provinciasCS,1.0.0,draft,,ProvinciasCS,CodeSystem Provincias,"CodeSystem Provincias","ValueSet/provinciasVS"
http://sns.gob.es/fhir/tsi/CodeSystem/situacionesCS,1.0.0,draft,,SituacionesCS,CodeSystem Situaciones,"CodeSystem Situaciones","ValueSet/situacionesVS"
http://sns.gob.es/fhir/tsi/CodeSystem/subIndicadorFarmaciaCS,1.0.0,draft,,SubIndicadorFarmaciaCS,CodeSystem Subindicador Farmacia,"CodeSystem SubIndicador Farmacia","ValueSet/subIndicadorFarmaciaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/tipoViaCS,1.0.0,draft,,TipoViaCS,CodeSystem Tipo de Via,"CodeSystem Tipo de Via","ValueSet/tipoViaVS"
http://sns.gob.es/fhir/tsi/CodeSystem/titulosCS,1.0.0,draft,,TitulosCS,CodeSystem Titulos,"CodeSystem Titulos","ValueSet/titulosVS"
